areas,bathrooms,bedrooms,r$_pmo,coord,class,class_distance
134.0,4.0,4.0,6500,"(-22.9790043, -43.21843320000001)",0.0,"[(54.18450733487538, (38.94006778767619, 39.07806917838764))]"
150.0,2.0,3.0,4000,"(-22.983158399999997, -43.2050161)",0.0,"[(52.92137908201368, (38.59622612950687, 37.50755575987088))]"
92.0,2.0,3.0,1700,"(-22.8128362, -43.2007792)",0.0,"[(82.71277833794133, (57.50751732881981, 61.804322175747835))]"
51.0,2.0,2.0,1300,"(-22.978555800000002, -43.4178749)",0.0,"[(28.189108312482247, (19.598974515651594, 21.063356436577738))]"
70.0,2.0,2.0,1500,"(-22.8306464, -43.3137382)",0.0,"[(62.74795987311863, (44.011732245673755, 46.46872055964299))]"
72.0,,2.0,2100,"(-22.9997404, -43.3659929)",0.0,"[(33.75274811099848, (23.467193170056515, 25.22059783853387))]"
50.0,1.0,1.0,2000,"(-22.9535105, -43.181536799999996)",0.0,"[(61.8182199835137, (42.980207271165774, 46.191571132845915))]"
120.0,3.0,3.0,4500,"(-27.5660564, -53.9719817)",0.0,
80.0,1.0,1.0,3300,"(-23.0048388, -43.366279799999994)",0.0,"[(32.5163837113282, (22.6075890246332, 24.296766415876952))]"
56.0,2.0,2.0,1600,"(-22.927716699999998, -43.359089600000004)",0.0,"[(41.29531128031468, (28.538857628054075, 31.040735801272454))]"
50.0,1.0,1.0,1700,"(-22.98939660000001, -43.2304766)",0.0,"[(50.32003106658015, (34.985888718728944, 37.59993890213658))]"
60.0,1.0,2.0,800,"(-22.896601399999998, -43.3447441)",0.0,"[(47.849857991024344, (32.92283876971298, 36.12180862588551))]"
65.0,2.0,2.0,2300,"(-23.0048388, -43.366279799999994)",0.0,"[(32.5163837113282, (22.6075890246332, 24.296766415876952))]"
86.0,2.0,2.0,3600,"(-22.943613199999998, -43.185880499999996)",0.0,"[(64.32529627233549, (43.23808851479277, 49.60974739667651))]"
80.0,4.0,2.0,3000,"(-22.9332703, -43.237241)",0.0,"[(57.738217464601796, (40.143513591268835, 43.14292743807808))]"
100.0,2.0,3.0,3100,"(-22.912447600000004, -43.2220924)",0.0,"[(63.687289207654686, (45.2151780492664, 46.561103701908685))]"
78.0,2.0,3.0,1800,"(-22.9709611, -43.395351399999996)",0.0,"[(29.98954704554505, (21.318182806498225, 21.894804716968963))]"
100.0,1.0,2.0,1400,"(-22.920916300000002, -43.2629986)",0.0,"[(55.82352985844293, (38.51026571496453, 42.03432973088978))]"
72.0,1.0,2.0,1350,"(-22.912677600000002, -43.23876679999999)",0.0,"[(62.06549286344776, (43.15212810025044, 46.3763374173773))]"
210.0,1.0,4.0,4500,"(-23.0132586, -43.29810850000001)",0.0,"[(37.476323968016764, (28.19501596988475, 25.497747265330947))]"
280.0,2.0,4.0,10000,"(-22.9641329, -43.2028646)",0.0,"[(59.28628358231832, (40.831196907607485, 44.71344085659484))]"
41.0,1.0,1.0,1850,"(-22.968132699999998, -43.1830609)",0.0,"[(59.71640050407423, (41.51888022394614, 44.621057714329154))]"
60.0,2.0,2.0,1400,"(-22.9130141, -43.216724799999994)",0.0,"[(63.49239802857828, (43.581930172962096, 48.03923397815975))]"
65.0,2.0,1.0,1000,"(-22.928988, -43.3534191)",1.0,0
82.0,2.0,3.0,1200,"(-22.907383199999998, -43.2876155)",0.0,"[(54.152760705558, (37.65066156954122, 40.46381631237302))]"
57.0,2.0,1.0,850,"(-22.8472129, -43.340518599999996)",0.0,"[(55.76496869887016, (38.25238447133754, 42.219096015421165))]"
103.0,1.0,3.0,3200,"(-22.975583899999997, -43.193523600000006)",0.0,"[(58.35653063509501, (40.48735524943816, 43.69722629167224))]"
55.0,2.0,2.0,2900,"(-22.9838087, -43.1952591)",0.0,"[(56.99760567531946, (39.88563234764184, 42.31147915768686))]"
48.0,1.0,2.0,850,"(-22.889453200000002, -43.2898959)",1.0,0
45.0,1.0,1.0,700,"(-22.8698509, -43.2674381)",0.0,"[(63.05470559526351, (43.92577183113142, 47.023019413237144))]"
84.0,1.0,2.0,1600,"(-22.923590700000002, -43.2617675)",0.0,"[(55.76058269932948, (38.59622612950687, 41.8495634463584))]"
105.0,1.0,3.0,3700,"(-22.9600532, -43.208837)",0.0,"[(58.40876449224536, (38.854107373133864, 45.45250599472038))]"
208.0,5.0,4.0,3900,"(-22.9393527, -43.1745967)",0.0,"[(66.56705797142322, (48.05187172916334, 47.762084551362676))]"
85.0,1.0,2.0,3500,"(-22.9840518, -43.221537899999994)",0.0,"[(51.57433000782678, (36.7910574241179, 37.50755575987088))]"
72.0,2.0,2.0,1400,"(-23.018515100000002, -43.4634021)",0.0,"[(11.374552476966521, (7.908358137894503, 8.499249088443648))]"
120.0,1.0,3.0,1500,"(-22.9396582, -43.3369363)",0.0,"[(42.03638958878932, (29.226540944392728, 31.410268370335224))]"
300.0,3.0,4.0,15000,"(-22.9387029, -43.17358170000001)",0.0,"[(66.80945316356322, (48.13783214370567, 48.03923397815975))]"
96.0,2.0,2.0,6800,"(-22.962529699999997, -43.2257912)",0.0,"[(52.54548698598664, (36.53317618049091, 39.26283546291903))]"
75.0,2.0,2.0,2500,"(-22.988339899999996, -43.3529408)",0.0,"[(34.7418396307347, (24.154876486395167, 25.959662976659406))]"
80.0,3.0,2.0,2500,"(-22.960081, -43.2091516)",0.0,"[(58.40876449224536, (38.854107373133864, 45.45250599472038))]"
154.0,1.0,3.0,3000,"(-22.9408899, -43.3422564)",1.0,0
63.0,2.0,2.0,1200,"(-22.9128075, -43.2141126)",0.0,"[(63.98547110970206, (44.011732245673755, 48.31638340495683))]"
160.0,1.0,3.0,2950,"(-23.016118399999996, -43.45588950000001)",0.0,
